35THR N047.53.18.161 E091.40.03.850
TUDEV N048.58.58.001 E096.32.17.999
TURAR N051.36.38.002 E101.39.54.000
TURBA N043.44.57.998 E104.06.56.002
TURUN N049.40.21.000 E094.22.21.000
TYCON N046.17.11.000 E106.46.21.000
UB14M N047.52.42.899 E106.43.09.199
UENCH N046.06.11.999 E092.01.54.001
UGOBI N049.05.44.002 E091.41.58.999
UL101 N049.01.51.510 E090.31.13.390
UL102 N049.09.35.590 E090.21.56.858
UL103 N048.59.36.128 E090.22.09.170
UL104 N048.56.24.101 E090.09.18.040
UL13M N049.00.08.320 E089.54.23.980
UL31M N048.57.20.369 E090.00.35.420
ULGII N048.59.39.001 E089.55.23.999
ULZIT N048.45.38.002 E095.24.05.000
URGAM N048.34.23.999 E094.29.31.999
VIZOT N047.00.42.998 E108.41.35.002
VOR11 N046.19.56.888 E096.27.43.178
ZAHIR N046.31.32.002 E106.26.02.000
ZAMUS N047.53.53.999 E109.39.41.000
ZOBUL N046.30.04.000 E114.02.02.000
